source_file,chapter,ordinal,line,title,duplicate_title_in_file
chapters/ch04-derivative.tex,,2,424,Instantaneous rate of change,False
chapters/ch04-derivative.tex,,3,968,The derivative as a function,False
chapters/ch04-derivative.tex,,4,1573,Local linear approximation,False
chapters/ch04-derivative.tex,,5,2303,Differentiability and continuity,False
chapters/ch04-derivative.tex,,6,2890,First derivative formulas,False
chapters/ch04-derivative.tex,,7,3590,Motion revisited,False
chapters/ch04-derivative.tex,,8,4470,Warning examples,False
chapters/ch04-derivative.tex,,9,4956,Chapter review and discovery problems,False
chapters/ch05-differentiation-rules.tex,,1,28,The algebra of derivatives,False
chapters/ch05-differentiation-rules.tex,,2,500,Product and quotient rules,False
chapters/ch05-differentiation-rules.tex,,3,1424,The chain rule,False
chapters/ch05-differentiation-rules.tex,,4,2332,Implicit differentiation,False
chapters/ch05-differentiation-rules.tex,,5,3087,Derivatives of trigonometric functions,True
chapters/ch05-differentiation-rules.tex,,6,3928,Derivatives of exponential and logarithmic functions,False
chapters/ch05-differentiation-rules.tex,,7,4748,Derivatives of trigonometric functions,True
chapters/ch05-differentiation-rules.tex,,8,5774,Inverse functions and inverse trigonometric functions,False
chapters/ch05-differentiation-rules.tex,,9,6828,General power rule and hyperbolic functions,False
chapters/ch05-differentiation-rules.tex,,10,7757,Warning examples,False
chapters/ch05-differentiation-rules.tex,,11,8245,Chapter review and discovery problems,False
chapters/ch06-shape-extremes.tex,,1,48,Increasing and decreasing functions,False
chapters/ch06-shape-extremes.tex,,2,477,Local and absolute extrema,False
chapters/ch06-shape-extremes.tex,,3,1039,Rolle's Theorem and the Mean Value Theorem,False
chapters/ch06-shape-extremes.tex,,4,1807,Concavity and second derivatives,False
chapters/ch06-shape-extremes.tex,,5,2469,Graph sketching with calculus,False
chapters/ch06-shape-extremes.tex,,6,3306,Indeterminate forms and l'Hospital's Rule,False
chapters/ch06-shape-extremes.tex,,7,4190,Warning examples,False
chapters/ch06-shape-extremes.tex,,8,4783,Chapter review and discovery problems,False
chapters/ch07-optimization.tex,,1,35,Related rates,False
chapters/ch07-optimization.tex,,2,704,Optimization problems,False
chapters/ch07-optimization.tex,,3,1442,Linear approximation in applications,False
chapters/ch07-optimization.tex,,4,2207,Newton's method,False
chapters/ch07-optimization.tex,,5,2883,Exponential growth and decay,False
chapters/ch07-optimization.tex,,6,3701,Logistic growth and limited resources,False
chapters/ch07-optimization.tex,,7,4426,"Light, time, and extremal principles",False
chapters/ch07-optimization.tex,,8,4982,Warning examples,False
chapters/ch07-optimization.tex,,9,5433,Chapter review and applications,False
chapters/ch08-integral-accumulation.tex,,1,61,Distance from velocity,False
chapters/ch08-integral-accumulation.tex,,2,628,Area under a graph,False
chapters/ch08-integral-accumulation.tex,,3,1240,Sigma notation and finite sums,False
chapters/ch08-integral-accumulation.tex,,4,2195,The definite integral,False
chapters/ch08-integral-accumulation.tex,,5,2926,Signed area and net change,False
chapters/ch08-integral-accumulation.tex,,6,3362,Properties of the integral,False
chapters/ch08-integral-accumulation.tex,,7,4212,Existence of integrals,False
chapters/ch08-integral-accumulation.tex,,8,4899,Chapter review and discovery problems,False
chapters/ch09-fundamental-theorem.tex,,1,33,Accumulation functions,False
chapters/ch09-fundamental-theorem.tex,,2,405,"Fundamental Theorem, Part I",False
chapters/ch09-fundamental-theorem.tex,,3,997,"Fundamental Theorem, Part II",False
chapters/ch09-fundamental-theorem.tex,,4,1829,Indefinite integrals,False
chapters/ch09-fundamental-theorem.tex,,5,2559,Differential notation and oriented length,False
chapters/ch09-fundamental-theorem.tex,,6,3224,Warning examples,False
chapters/ch09-fundamental-theorem.tex,,7,3880,Chapter review and discovery problems,False
chapters/ch10-what-integrals-measure.tex,,1,23,Area between curves,False
chapters/ch10-what-integrals-measure.tex,,2,685,Volumes by slicing,False
chapters/ch10-what-integrals-measure.tex,,3,1641,Cylindrical shells,False
chapters/ch10-what-integrals-measure.tex,,4,2250,"Mass, density, and center of mass",False
chapters/ch10-what-integrals-measure.tex,,5,3055,Work and energy,False
chapters/ch10-what-integrals-measure.tex,,6,3890,Hydrostatic force,False
chapters/ch10-what-integrals-measure.tex,,7,4583,Average value and probability,False
chapters/ch10-what-integrals-measure.tex,,8,5435,Arc length and surface area of revolution,False
chapters/ch10-what-integrals-measure.tex,,9,6201,Chapter review and applications,False
chapters/ch11-techniques-integration.tex,,1,35,Integration by parts,False
chapters/ch11-techniques-integration.tex,,2,708,Trigonometric integrals,False
chapters/ch11-techniques-integration.tex,,3,1481,Trigonometric substitution,False
chapters/ch11-techniques-integration.tex,,4,2353,Rational functions and partial fractions,False
chapters/ch11-techniques-integration.tex,,5,3343,Strategy for integration,False
chapters/ch11-techniques-integration.tex,,6,4272,Computer algebra systems and integral tables,False
chapters/ch11-techniques-integration.tex,,7,5132,Improper integrals,False
chapters/ch11-techniques-integration.tex,,8,6355,Warning examples,False
chapters/ch11-techniques-integration.tex,,9,6898,Chapter review and discovery problems,False
chapters/ch12-numerical-integration.tex,,1,42,Why approximate integrals?,False
chapters/ch12-numerical-integration.tex,,2,324,Midpoint and trapezoidal rules,False
chapters/ch12-numerical-integration.tex,,3,1131,Simpson's Rule,False
chapters/ch12-numerical-integration.tex,,4,1967,Numerical differentiation,False
chapters/ch12-numerical-integration.tex,,5,2626,Newton's method revisited,False
chapters/ch12-numerical-integration.tex,,6,3334,Computing experiments,False
chapters/ch12-numerical-integration.tex,,7,3922,Chapter review and discovery problems,False
chapters/ch13-differential-equations.tex,,1,47,Modeling with differential equations,False
chapters/ch13-differential-equations.tex,,2,588,Direction fields,False
chapters/ch13-differential-equations.tex,,3,1055,Euler's method,False
chapters/ch13-differential-equations.tex,,4,1638,Separable equations,False
chapters/ch13-differential-equations.tex,,5,2570,Logistic and threshold models,False
chapters/ch13-differential-equations.tex,,6,3525,First-order linear equations,False
chapters/ch13-differential-equations.tex,,7,4505,Second-order equations and vibration,False
chapters/ch13-differential-equations.tex,,8,5357,Systems and interaction models,False
chapters/ch13-differential-equations.tex,,9,5989,Warning examples,False
chapters/ch13-differential-equations.tex,,10,6637,Chapter review and applications,False
chapters/ch14-parametric-polar.tex,,1,41,Parametric curves,False
chapters/ch14-parametric-polar.tex,,2,678,Calculus with parametric curves,False
chapters/ch14-parametric-polar.tex,,3,1594,Length and area for parametric curves,False
chapters/ch14-parametric-polar.tex,,4,2557,Polar coordinates,False
chapters/ch14-parametric-polar.tex,,5,3390,Calculus in polar coordinates,False
chapters/ch14-parametric-polar.tex,,6,4701,Conic sections,False
chapters/ch14-parametric-polar.tex,,7,5736,Planetary motion as a capstone,False
chapters/ch14-parametric-polar.tex,,8,6310,Complex numbers and polar form,False
chapters/ch14-parametric-polar.tex,,9,6974,Warning examples,False
chapters/ch14-parametric-polar.tex,,10,7548,Chapter review and projects,False
chapters/ch15-sequences-series.tex,,1,46,Sequences,False
chapters/ch15-sequences-series.tex,,2,1030,Infinite series,False
chapters/ch15-sequences-series.tex,,3,1864,The harmonic series and first warnings,False
chapters/ch15-sequences-series.tex,,4,2276,Positive series tests,False
chapters/ch15-sequences-series.tex,,5,3298,Alternating series,False
chapters/ch15-sequences-series.tex,,6,4112,Absolute convergence and stronger tests,False
chapters/ch15-sequences-series.tex,,7,5112,Rearrangement and the danger of infinity,False
chapters/ch15-sequences-series.tex,,8,5576,Warning examples,False
chapters/ch15-sequences-series.tex,,9,6052,Chapter review and discovery problems,False
chapters/ch16-power-series.tex,,1,39,Power series,False
chapters/ch16-power-series.tex,,2,730,Working with power series,False
chapters/ch16-power-series.tex,,3,1355,Representing functions by power series,False
chapters/ch16-power-series.tex,,4,2202,Taylor polynomials,False
chapters/ch16-power-series.tex,,5,2903,Taylor's theorem and remainders,False
chapters/ch16-power-series.tex,,6,3685,Taylor series for elementary functions,False
chapters/ch16-power-series.tex,,7,4683,Applications of Taylor series,False
chapters/ch16-power-series.tex,,8,5701,Uniform convergence preview,False
chapters/ch16-power-series.tex,,9,6446,Warning examples,False
chapters/ch16-power-series.tex,,10,7005,Chapter review and projects,False
chapters/ch17-complex-fourier.tex,,1,29,Complex numbers and Euler's formula,False
chapters/ch17-complex-fourier.tex,,2,1050,Vibrations and second-order equations,False
chapters/ch17-complex-fourier.tex,,3,2054,Fourier series preview,False
chapters/ch17-complex-fourier.tex,,4,2730,The one-dimensional Stokes theorem,False
chapters/ch17-complex-fourier.tex,,5,3327,Conservation laws in one dimension,False
chapters/ch17-complex-fourier.tex,,6,3904,Least action and the shape of a path,False
chapters/ch17-complex-fourier.tex,,7,4650,Final projects,False
commands.tex,,1,10,Title,True
commands.tex,,2,11,Title,True
