task_id,kind,part_or_backmatter,chapter_or_appendix,section_number,title,target_path,source_hint,status,xml_valid,web_build,visual_desktop,visual_narrow,visual_mobile,figures_checked,xref_checked,last_commit,notes
ch02-introduction,chapter-introduction,I,2,,Chapter 2 introduction,source/chapters/ch02-numbers-functions-and-models/ch02-numbers-functions-and-models.ptx,Chapter-2-draft.txt|Chapter-2-draft.tex|chapter-2-draft.txt|chapter-2.tex,NOT_STARTED,,,,,,,,,
sec-2-1-the-real-line-and-intervals,section,I,2,2.1,The real line and intervals,source/chapters/ch02-numbers-functions-and-models/sections/sec-2-1-the-real-line-and-intervals.xml,Chapter-2-draft.txt|Chapter-2-draft.tex|chapter-2-draft.txt|chapter-2.tex,NOT_STARTED,,,,,,,,,
sec-2-2-completeness-and-the-idea-of-no-gaps,section,I,2,2.2,Completeness and the idea of no gaps,source/chapters/ch02-numbers-functions-and-models/sections/sec-2-2-completeness-and-the-idea-of-no-gaps.xml,Chapter-2-draft.txt|Chapter-2-draft.tex|chapter-2-draft.txt|chapter-2.tex,NOT_STARTED,,,,,,,,,
sec-2-3-functions-as-assignments,section,I,2,2.3,Functions as assignments,source/chapters/ch02-numbers-functions-and-models/sections/sec-2-3-functions-as-assignments.xml,Chapter-2-draft.txt|Chapter-2-draft.tex|chapter-2-draft.txt|chapter-2.tex,NOT_STARTED,,,,,,,,,
sec-2-4-graphs-and-transformations,section,I,2,2.4,Graphs and transformations,source/chapters/ch02-numbers-functions-and-models/sections/sec-2-4-graphs-and-transformations.xml,Chapter-2-draft.txt|Chapter-2-draft.tex|chapter-2-draft.txt|chapter-2.tex,NOT_STARTED,,,,,,,,,
sec-2-5-combining-functions,section,I,2,2.5,Combining functions,source/chapters/ch02-numbers-functions-and-models/sections/sec-2-5-combining-functions.xml,Chapter-2-draft.txt|Chapter-2-draft.tex|chapter-2-draft.txt|chapter-2.tex,NOT_STARTED,,,,,,,,,
sec-2-6-a-catalog-of-essential-functions,section,I,2,2.6,A catalog of essential functions,source/chapters/ch02-numbers-functions-and-models/sections/sec-2-6-a-catalog-of-essential-functions.xml,Chapter-2-draft.txt|Chapter-2-draft.tex|chapter-2-draft.txt|chapter-2.tex,NOT_STARTED,,,,,,,,,
sec-2-7-models-before-calculus,section,I,2,2.7,Models before calculus,source/chapters/ch02-numbers-functions-and-models/sections/sec-2-7-models-before-calculus.xml,Chapter-2-draft.txt|Chapter-2-draft.tex|chapter-2-draft.txt|chapter-2.tex,NOT_STARTED,,,,,,,,,
sec-2-8-technology-and-graphs,section,I,2,2.8,Technology and graphs,source/chapters/ch02-numbers-functions-and-models/sections/sec-2-8-technology-and-graphs.xml,Chapter-2-draft.txt|Chapter-2-draft.tex|chapter-2-draft.txt|chapter-2.tex,NOT_STARTED,,,,,,,,,
sec-2-9-chapter-review-and-discovery-problems,section,I,2,2.9,Chapter review and discovery problems,source/chapters/ch02-numbers-functions-and-models/sections/sec-2-9-chapter-review-and-discovery-problems.xml,Chapter-2-draft.txt|Chapter-2-draft.tex|chapter-2-draft.txt|chapter-2.tex,NOT_STARTED,,,,,,,,,
ch03-introduction,chapter-introduction,II,3,,Chapter 3 introduction,source/chapters/ch03-limits-and-continuity/ch03-limits-and-continuity.ptx,chapter-3-draft.txt|Chapter-3-draft.txt|chapter-3-draft.tex|chapter-3.tex,NOT_STARTED,,,,,,,,,
sec-3-1-limits-from-motion-and-approximation,section,II,3,3.1,Limits from motion and approximation,source/chapters/ch03-limits-and-continuity/sections/sec-3-1-limits-from-motion-and-approximation.xml,chapter-3-draft.txt|Chapter-3-draft.txt|chapter-3-draft.tex|chapter-3.tex,NOT_STARTED,,,,,,,,,
sec-3-2-calculating-limits,section,II,3,3.2,Calculating limits,source/chapters/ch03-limits-and-continuity/sections/sec-3-2-calculating-limits.xml,chapter-3-draft.txt|Chapter-3-draft.txt|chapter-3-draft.tex|chapter-3.tex,NOT_STARTED,,,,,,,,,
sec-3-3-one-sided-limits-and-infinite-behavior,section,II,3,3.3,One-sided limits and infinite behavior,source/chapters/ch03-limits-and-continuity/sections/sec-3-3-one-sided-limits-and-infinite-behavior.xml,chapter-3-draft.txt|Chapter-3-draft.txt|chapter-3-draft.tex|chapter-3.tex,NOT_STARTED,,,,,,,,,
sec-3-4-the-precise-definition-of-a-limit,section,II,3,3.4,The precise definition of a limit,source/chapters/ch03-limits-and-continuity/sections/sec-3-4-the-precise-definition-of-a-limit.xml,chapter-3-draft.txt|Chapter-3-draft.txt|chapter-3-draft.tex|chapter-3.tex,NOT_STARTED,,,,,,,,,
sec-3-5-continuity,section,II,3,3.5,Continuity,source/chapters/ch03-limits-and-continuity/sections/sec-3-5-continuity.xml,chapter-3-draft.txt|Chapter-3-draft.txt|chapter-3-draft.tex|chapter-3.tex,NOT_STARTED,,,,,,,,,
sec-3-6-two-theorems-about-continuous-functions,section,II,3,3.6,Two theorems about continuous functions,source/chapters/ch03-limits-and-continuity/sections/sec-3-6-two-theorems-about-continuous-functions.xml,chapter-3-draft.txt|Chapter-3-draft.txt|chapter-3-draft.tex|chapter-3.tex,NOT_STARTED,,,,,,,,,
sec-3-7-warning-examples,section,II,3,3.7,Warning examples,source/chapters/ch03-limits-and-continuity/sections/sec-3-7-warning-examples.xml,chapter-3-draft.txt|Chapter-3-draft.txt|chapter-3-draft.tex|chapter-3.tex,NOT_STARTED,,,,,,,,,
sec-3-8-sequences-as-limits-indexed-by-whole-numbers,section,II,3,3.8,Sequences as limits indexed by whole numbers,source/chapters/ch03-limits-and-continuity/sections/sec-3-8-sequences-as-limits-indexed-by-whole-numbers.xml,chapter-3-draft.txt|Chapter-3-draft.txt|chapter-3-draft.tex|chapter-3.tex,NOT_STARTED,,,,,,,,,
sec-3-9-chapter-review-and-discovery-problems,section,II,3,3.9,Chapter review and discovery problems,source/chapters/ch03-limits-and-continuity/sections/sec-3-9-chapter-review-and-discovery-problems.xml,chapter-3-draft.txt|Chapter-3-draft.txt|chapter-3-draft.tex|chapter-3.tex,NOT_STARTED,,,,,,,,,
ch04-introduction,chapter-introduction,II,4,,Chapter 4 introduction,source/chapters/ch04-the-derivative/ch04-the-derivative.ptx,Chapter-4-draft.txt|Chapter-4-draft.tex|chapter-4.tex,NOT_STARTED,,,,,,,,,
sec-4-1-average-rate-of-change,section,II,4,4.1,Average rate of change,source/chapters/ch04-the-derivative/sections/sec-4-1-average-rate-of-change.xml,Chapter-4-draft.txt|Chapter-4-draft.tex|chapter-4.tex,NOT_STARTED,,,,,,,,,
sec-4-2-instantaneous-rate-of-change,section,II,4,4.2,Instantaneous rate of change,source/chapters/ch04-the-derivative/sections/sec-4-2-instantaneous-rate-of-change.xml,Chapter-4-draft.txt|Chapter-4-draft.tex|chapter-4.tex,NOT_STARTED,,,,,,,,,
sec-4-3-the-derivative-as-a-function,section,II,4,4.3,The derivative as a function,source/chapters/ch04-the-derivative/sections/sec-4-3-the-derivative-as-a-function.xml,Chapter-4-draft.txt|Chapter-4-draft.tex|chapter-4.tex,NOT_STARTED,,,,,,,,,
sec-4-4-local-linear-approximation,section,II,4,4.4,Local linear approximation,source/chapters/ch04-the-derivative/sections/sec-4-4-local-linear-approximation.xml,Chapter-4-draft.txt|Chapter-4-draft.tex|chapter-4.tex,NOT_STARTED,,,,,,,,,
sec-4-5-differentiability-and-continuity,section,II,4,4.5,Differentiability and continuity,source/chapters/ch04-the-derivative/sections/sec-4-5-differentiability-and-continuity.xml,Chapter-4-draft.txt|Chapter-4-draft.tex|chapter-4.tex,NOT_STARTED,,,,,,,,,
sec-4-6-first-derivative-formulas,section,II,4,4.6,First derivative formulas,source/chapters/ch04-the-derivative/sections/sec-4-6-first-derivative-formulas.xml,Chapter-4-draft.txt|Chapter-4-draft.tex|chapter-4.tex,NOT_STARTED,,,,,,,,,
sec-4-7-motion-revisited,section,II,4,4.7,Motion revisited,source/chapters/ch04-the-derivative/sections/sec-4-7-motion-revisited.xml,Chapter-4-draft.txt|Chapter-4-draft.tex|chapter-4.tex,NOT_STARTED,,,,,,,,,
sec-4-8-warning-examples,section,II,4,4.8,Warning examples,source/chapters/ch04-the-derivative/sections/sec-4-8-warning-examples.xml,Chapter-4-draft.txt|Chapter-4-draft.tex|chapter-4.tex,NOT_STARTED,,,,,,,,,
sec-4-9-chapter-review-and-discovery-problems,section,II,4,4.9,Chapter review and discovery problems,source/chapters/ch04-the-derivative/sections/sec-4-9-chapter-review-and-discovery-problems.xml,Chapter-4-draft.txt|Chapter-4-draft.tex|chapter-4.tex,NOT_STARTED,,,,,,,,,
ch05-introduction,chapter-introduction,II,5,,Chapter 5 introduction,source/chapters/ch05-differentiation-rules-and-elementary-functions/ch05-differentiation-rules-and-elementary-functions.ptx,Chapter-5-draft.txt|Chapter-5-draft.tex|chapter-5.tex,NOT_STARTED,,,,,,,,,
sec-5-1-the-algebra-of-derivatives,section,II,5,5.1,The algebra of derivatives,source/chapters/ch05-differentiation-rules-and-elementary-functions/sections/sec-5-1-the-algebra-of-derivatives.xml,Chapter-5-draft.txt|Chapter-5-draft.tex|chapter-5.tex,NOT_STARTED,,,,,,,,,
sec-5-2-product-and-quotient-rules,section,II,5,5.2,Product and quotient rules,source/chapters/ch05-differentiation-rules-and-elementary-functions/sections/sec-5-2-product-and-quotient-rules.xml,Chapter-5-draft.txt|Chapter-5-draft.tex|chapter-5.tex,NOT_STARTED,,,,,,,,,
sec-5-3-the-chain-rule,section,II,5,5.3,The chain rule,source/chapters/ch05-differentiation-rules-and-elementary-functions/sections/sec-5-3-the-chain-rule.xml,Chapter-5-draft.txt|Chapter-5-draft.tex|chapter-5.tex,NOT_STARTED,,,,,,,,,
sec-5-4-implicit-differentiation,section,II,5,5.4,Implicit differentiation,source/chapters/ch05-differentiation-rules-and-elementary-functions/sections/sec-5-4-implicit-differentiation.xml,Chapter-5-draft.txt|Chapter-5-draft.tex|chapter-5.tex,NOT_STARTED,,,,,,,,,
sec-5-5-derivatives-of-trigonometric-functions,section,II,5,5.5,Derivatives of trigonometric functions,source/chapters/ch05-differentiation-rules-and-elementary-functions/sections/sec-5-5-derivatives-of-trigonometric-functions.xml,Chapter-5-draft.txt|Chapter-5-draft.tex|chapter-5.tex,NOT_STARTED,,,,,,,,,
sec-5-6-derivatives-of-exponential-and-logarithmic-functions,section,II,5,5.6,Derivatives of exponential and logarithmic functions,source/chapters/ch05-differentiation-rules-and-elementary-functions/sections/sec-5-6-derivatives-of-exponential-and-logarithmic-functions.xml,Chapter-5-draft.txt|Chapter-5-draft.tex|chapter-5.tex,NOT_STARTED,,,,,,,,,
sec-5-7-inverse-functions-and-inverse-trigonometric-functions,section,II,5,5.7,Inverse functions and inverse trigonometric functions,source/chapters/ch05-differentiation-rules-and-elementary-functions/sections/sec-5-7-inverse-functions-and-inverse-trigonometric-functions.xml,Chapter-5-draft.txt|Chapter-5-draft.tex|chapter-5.tex,NOT_STARTED,,,,,,,,,
sec-5-8-general-power-rule-and-hyperbolic-functions,section,II,5,5.8,General power rule and hyperbolic functions,source/chapters/ch05-differentiation-rules-and-elementary-functions/sections/sec-5-8-general-power-rule-and-hyperbolic-functions.xml,Chapter-5-draft.txt|Chapter-5-draft.tex|chapter-5.tex,NOT_STARTED,,,,,,,,,
sec-5-9-warning-examples,section,II,5,5.9,Warning examples,source/chapters/ch05-differentiation-rules-and-elementary-functions/sections/sec-5-9-warning-examples.xml,Chapter-5-draft.txt|Chapter-5-draft.tex|chapter-5.tex,NOT_STARTED,,,,,,,,,
sec-5-10-chapter-review-and-discovery-problems,section,II,5,5.10,Chapter review and discovery problems,source/chapters/ch05-differentiation-rules-and-elementary-functions/sections/sec-5-10-chapter-review-and-discovery-problems.xml,Chapter-5-draft.txt|Chapter-5-draft.tex|chapter-5.tex,NOT_STARTED,,,,,,,,,
ch06-introduction,chapter-introduction,III,6,,Chapter 6 introduction,source/chapters/ch06-shape-extremes-and-the-mean-value-theorem/ch06-shape-extremes-and-the-mean-value-theorem.ptx,Chapter-6-draft.txt|Chapter-6-draft.tex|chapter-6.tex,NOT_STARTED,,,,,,,,,
sec-6-1-increasing-and-decreasing-functions,section,III,6,6.1,Increasing and decreasing functions,source/chapters/ch06-shape-extremes-and-the-mean-value-theorem/sections/sec-6-1-increasing-and-decreasing-functions.xml,Chapter-6-draft.txt|Chapter-6-draft.tex|chapter-6.tex,NOT_STARTED,,,,,,,,,
sec-6-2-local-and-absolute-extrema,section,III,6,6.2,Local and absolute extrema,source/chapters/ch06-shape-extremes-and-the-mean-value-theorem/sections/sec-6-2-local-and-absolute-extrema.xml,Chapter-6-draft.txt|Chapter-6-draft.tex|chapter-6.tex,NOT_STARTED,,,,,,,,,
sec-6-3-rolle-s-theorem-and-the-mean-value-theorem,section,III,6,6.3,Rolle's Theorem and the Mean Value Theorem,source/chapters/ch06-shape-extremes-and-the-mean-value-theorem/sections/sec-6-3-rolle-s-theorem-and-the-mean-value-theorem.xml,Chapter-6-draft.txt|Chapter-6-draft.tex|chapter-6.tex,NOT_STARTED,,,,,,,,,
sec-6-4-concavity-and-second-derivatives,section,III,6,6.4,Concavity and second derivatives,source/chapters/ch06-shape-extremes-and-the-mean-value-theorem/sections/sec-6-4-concavity-and-second-derivatives.xml,Chapter-6-draft.txt|Chapter-6-draft.tex|chapter-6.tex,NOT_STARTED,,,,,,,,,
sec-6-5-graph-sketching-with-calculus,section,III,6,6.5,Graph sketching with calculus,source/chapters/ch06-shape-extremes-and-the-mean-value-theorem/sections/sec-6-5-graph-sketching-with-calculus.xml,Chapter-6-draft.txt|Chapter-6-draft.tex|chapter-6.tex,NOT_STARTED,,,,,,,,,
sec-6-6-indeterminate-forms-and-l-hospital-s-rule,section,III,6,6.6,Indeterminate forms and l'Hospital's Rule,source/chapters/ch06-shape-extremes-and-the-mean-value-theorem/sections/sec-6-6-indeterminate-forms-and-l-hospital-s-rule.xml,Chapter-6-draft.txt|Chapter-6-draft.tex|chapter-6.tex,NOT_STARTED,,,,,,,,,
sec-6-7-warning-examples,section,III,6,6.7,Warning examples,source/chapters/ch06-shape-extremes-and-the-mean-value-theorem/sections/sec-6-7-warning-examples.xml,Chapter-6-draft.txt|Chapter-6-draft.tex|chapter-6.tex,NOT_STARTED,,,,,,,,,
sec-6-8-chapter-review-and-discovery-problems,section,III,6,6.8,Chapter review and discovery problems,source/chapters/ch06-shape-extremes-and-the-mean-value-theorem/sections/sec-6-8-chapter-review-and-discovery-problems.xml,Chapter-6-draft.txt|Chapter-6-draft.tex|chapter-6.tex,NOT_STARTED,,,,,,,,,
ch07-introduction,chapter-introduction,III,7,,Chapter 7 introduction,source/chapters/ch07-optimization-related-rates-and-models/ch07-optimization-related-rates-and-models.ptx,Chapter-7-draft.txt|Chapter-7-draft.tex|chapter-7.tex,NOT_STARTED,,,,,,,,,
sec-7-1-related-rates,section,III,7,7.1,Related rates,source/chapters/ch07-optimization-related-rates-and-models/sections/sec-7-1-related-rates.xml,Chapter-7-draft.txt|Chapter-7-draft.tex|chapter-7.tex,NOT_STARTED,,,,,,,,,
sec-7-2-optimization-problems,section,III,7,7.2,Optimization problems,source/chapters/ch07-optimization-related-rates-and-models/sections/sec-7-2-optimization-problems.xml,Chapter-7-draft.txt|Chapter-7-draft.tex|chapter-7.tex,NOT_STARTED,,,,,,,,,
sec-7-3-linear-approximation-in-applications,section,III,7,7.3,Linear approximation in applications,source/chapters/ch07-optimization-related-rates-and-models/sections/sec-7-3-linear-approximation-in-applications.xml,Chapter-7-draft.txt|Chapter-7-draft.tex|chapter-7.tex,NOT_STARTED,,,,,,,,,
sec-7-4-newton-s-method,section,III,7,7.4,Newton's method,source/chapters/ch07-optimization-related-rates-and-models/sections/sec-7-4-newton-s-method.xml,Chapter-7-draft.txt|Chapter-7-draft.tex|chapter-7.tex,NOT_STARTED,,,,,,,,,
sec-7-5-exponential-growth-and-decay,section,III,7,7.5,Exponential growth and decay,source/chapters/ch07-optimization-related-rates-and-models/sections/sec-7-5-exponential-growth-and-decay.xml,Chapter-7-draft.txt|Chapter-7-draft.tex|chapter-7.tex,NOT_STARTED,,,,,,,,,
sec-7-6-logistic-growth-and-limited-resources,section,III,7,7.6,Logistic growth and limited resources,source/chapters/ch07-optimization-related-rates-and-models/sections/sec-7-6-logistic-growth-and-limited-resources.xml,Chapter-7-draft.txt|Chapter-7-draft.tex|chapter-7.tex,NOT_STARTED,,,,,,,,,
sec-7-7-light-time-and-extremal-principles,section,III,7,7.7,"Light, time, and extremal principles",source/chapters/ch07-optimization-related-rates-and-models/sections/sec-7-7-light-time-and-extremal-principles.xml,Chapter-7-draft.txt|Chapter-7-draft.tex|chapter-7.tex,NOT_STARTED,,,,,,,,,
sec-7-8-warning-examples,section,III,7,7.8,Warning examples,source/chapters/ch07-optimization-related-rates-and-models/sections/sec-7-8-warning-examples.xml,Chapter-7-draft.txt|Chapter-7-draft.tex|chapter-7.tex,NOT_STARTED,,,,,,,,,
sec-7-9-chapter-review-and-applications,section,III,7,7.9,Chapter review and applications,source/chapters/ch07-optimization-related-rates-and-models/sections/sec-7-9-chapter-review-and-applications.xml,Chapter-7-draft.txt|Chapter-7-draft.tex|chapter-7.tex,NOT_STARTED,,,,,,,,,
ch08-introduction,chapter-introduction,IV,8,,Chapter 8 introduction,source/chapters/ch08-the-integral-as-accumulation/ch08-the-integral-as-accumulation.ptx,Chapter-8-draft.txt|Chapter-8-draft.tex|chapter-8.tex,NOT_STARTED,,,,,,,,,
sec-8-1-distance-from-velocity,section,IV,8,8.1,Distance from velocity,source/chapters/ch08-the-integral-as-accumulation/sections/sec-8-1-distance-from-velocity.xml,Chapter-8-draft.txt|Chapter-8-draft.tex|chapter-8.tex,NOT_STARTED,,,,,,,,,
sec-8-2-area-under-a-graph,section,IV,8,8.2,Area under a graph,source/chapters/ch08-the-integral-as-accumulation/sections/sec-8-2-area-under-a-graph.xml,Chapter-8-draft.txt|Chapter-8-draft.tex|chapter-8.tex,NOT_STARTED,,,,,,,,,
sec-8-3-sigma-notation-and-finite-sums,section,IV,8,8.3,Sigma notation and finite sums,source/chapters/ch08-the-integral-as-accumulation/sections/sec-8-3-sigma-notation-and-finite-sums.xml,Chapter-8-draft.txt|Chapter-8-draft.tex|chapter-8.tex,NOT_STARTED,,,,,,,,,
sec-8-4-the-definite-integral,section,IV,8,8.4,The definite integral,source/chapters/ch08-the-integral-as-accumulation/sections/sec-8-4-the-definite-integral.xml,Chapter-8-draft.txt|Chapter-8-draft.tex|chapter-8.tex,NOT_STARTED,,,,,,,,,
sec-8-5-signed-area-and-net-change,section,IV,8,8.5,Signed area and net change,source/chapters/ch08-the-integral-as-accumulation/sections/sec-8-5-signed-area-and-net-change.xml,Chapter-8-draft.txt|Chapter-8-draft.tex|chapter-8.tex,NOT_STARTED,,,,,,,,,
sec-8-6-properties-of-the-integral,section,IV,8,8.6,Properties of the integral,source/chapters/ch08-the-integral-as-accumulation/sections/sec-8-6-properties-of-the-integral.xml,Chapter-8-draft.txt|Chapter-8-draft.tex|chapter-8.tex,NOT_STARTED,,,,,,,,,
sec-8-7-existence-of-integrals,section,IV,8,8.7,Existence of integrals,source/chapters/ch08-the-integral-as-accumulation/sections/sec-8-7-existence-of-integrals.xml,Chapter-8-draft.txt|Chapter-8-draft.tex|chapter-8.tex,NOT_STARTED,,,,,,,,,
sec-8-8-chapter-review-and-discovery-problems,section,IV,8,8.8,Chapter review and discovery problems,source/chapters/ch08-the-integral-as-accumulation/sections/sec-8-8-chapter-review-and-discovery-problems.xml,Chapter-8-draft.txt|Chapter-8-draft.tex|chapter-8.tex,NOT_STARTED,,,,,,,,,
ch09-introduction,chapter-introduction,IV,9,,Chapter 9 introduction,source/chapters/ch09-the-fundamental-theorem-of-calculus/ch09-the-fundamental-theorem-of-calculus.ptx,Chapter-9-draft.txt|Chapter-9-draft.tex|chapter-9.tex,NOT_STARTED,,,,,,,,,
sec-9-1-accumulation-functions,section,IV,9,9.1,Accumulation functions,source/chapters/ch09-the-fundamental-theorem-of-calculus/sections/sec-9-1-accumulation-functions.xml,Chapter-9-draft.txt|Chapter-9-draft.tex|chapter-9.tex,NOT_STARTED,,,,,,,,,
sec-9-2-fundamental-theorem-part-i,section,IV,9,9.2,"Fundamental Theorem, Part I",source/chapters/ch09-the-fundamental-theorem-of-calculus/sections/sec-9-2-fundamental-theorem-part-i.xml,Chapter-9-draft.txt|Chapter-9-draft.tex|chapter-9.tex,NOT_STARTED,,,,,,,,,
sec-9-3-fundamental-theorem-part-ii,section,IV,9,9.3,"Fundamental Theorem, Part II",source/chapters/ch09-the-fundamental-theorem-of-calculus/sections/sec-9-3-fundamental-theorem-part-ii.xml,Chapter-9-draft.txt|Chapter-9-draft.tex|chapter-9.tex,NOT_STARTED,,,,,,,,,
sec-9-4-indefinite-integrals,section,IV,9,9.4,Indefinite integrals,source/chapters/ch09-the-fundamental-theorem-of-calculus/sections/sec-9-4-indefinite-integrals.xml,Chapter-9-draft.txt|Chapter-9-draft.tex|chapter-9.tex,NOT_STARTED,,,,,,,,,
sec-9-5-substitution,section,IV,9,9.5,Substitution,source/chapters/ch09-the-fundamental-theorem-of-calculus/sections/sec-9-5-substitution.xml,Chapter-9-draft.txt|Chapter-9-draft.tex|chapter-9.tex,NOT_STARTED,,,,,,,,,
sec-9-6-differential-notation-and-oriented-length,section,IV,9,9.6,Differential notation and oriented length,source/chapters/ch09-the-fundamental-theorem-of-calculus/sections/sec-9-6-differential-notation-and-oriented-length.xml,Chapter-9-draft.txt|Chapter-9-draft.tex|chapter-9.tex,NOT_STARTED,,,,,,,,,
sec-9-7-warning-examples,section,IV,9,9.7,Warning examples,source/chapters/ch09-the-fundamental-theorem-of-calculus/sections/sec-9-7-warning-examples.xml,Chapter-9-draft.txt|Chapter-9-draft.tex|chapter-9.tex,NOT_STARTED,,,,,,,,,
sec-9-8-chapter-review-and-discovery-problems,section,IV,9,9.8,Chapter review and discovery problems,source/chapters/ch09-the-fundamental-theorem-of-calculus/sections/sec-9-8-chapter-review-and-discovery-problems.xml,Chapter-9-draft.txt|Chapter-9-draft.tex|chapter-9.tex,NOT_STARTED,,,,,,,,,
ch10-introduction,chapter-introduction,V,10,,Chapter 10 introduction,source/chapters/ch10-what-integrals-measure/ch10-what-integrals-measure.ptx,Chapter-10-draft.txt|Chapter-10-draft.tex|chapter-10.tex,NOT_STARTED,,,,,,,,,
sec-10-1-area-between-curves,section,V,10,10.1,Area between curves,source/chapters/ch10-what-integrals-measure/sections/sec-10-1-area-between-curves.xml,Chapter-10-draft.txt|Chapter-10-draft.tex|chapter-10.tex,NOT_STARTED,,,,,,,,,
sec-10-2-volumes-by-slicing,section,V,10,10.2,Volumes by slicing,source/chapters/ch10-what-integrals-measure/sections/sec-10-2-volumes-by-slicing.xml,Chapter-10-draft.txt|Chapter-10-draft.tex|chapter-10.tex,NOT_STARTED,,,,,,,,,
sec-10-3-cylindrical-shells,section,V,10,10.3,Cylindrical shells,source/chapters/ch10-what-integrals-measure/sections/sec-10-3-cylindrical-shells.xml,Chapter-10-draft.txt|Chapter-10-draft.tex|chapter-10.tex,NOT_STARTED,,,,,,,,,
sec-10-4-mass-density-and-center-of-mass,section,V,10,10.4,"Mass, density, and center of mass",source/chapters/ch10-what-integrals-measure/sections/sec-10-4-mass-density-and-center-of-mass.xml,Chapter-10-draft.txt|Chapter-10-draft.tex|chapter-10.tex,NOT_STARTED,,,,,,,,,
sec-10-5-work-and-energy,section,V,10,10.5,Work and energy,source/chapters/ch10-what-integrals-measure/sections/sec-10-5-work-and-energy.xml,Chapter-10-draft.txt|Chapter-10-draft.tex|chapter-10.tex,NOT_STARTED,,,,,,,,,
sec-10-6-hydrostatic-force,section,V,10,10.6,Hydrostatic force,source/chapters/ch10-what-integrals-measure/sections/sec-10-6-hydrostatic-force.xml,Chapter-10-draft.txt|Chapter-10-draft.tex|chapter-10.tex,NOT_STARTED,,,,,,,,,
